product_code,revision_code,valid_line_count,total_dosage_percent
730C3091,2,14,200.1
730C3091F,2,23,199.8966
730C3091F1,1,11,100.1
730C3092,1,6,100.05
730C3092F,3,10,99.95
730C3093F,1,12,99.95
730C3094F,4,12,99.95
730C3181F,1,8,99.8
730C3182F,1,7,99.95
730C3183F,1,8,99.7996
730C3301,2,7,116.45
730C3361F,2,13,100.2
730C3381,3,12,100.2
730C3381F,3,12,99.95
730C3381FA,1,10,99.95
730C3382F,2,13,100.4086
730C3383F,3,10,99.95
730C3391F,4,15,100.2
730C3392F,2,13,100.2
730C3393,1,12,100.2
730C3394F,3,11,100.05
730C3431,1,4,31.95
730C4001F,1,4,88.0
730C5001F,2,5,99.95
730D1032,0,13,200.1
730D1034F4,0,1,23.6
730D2096F,0,9,99.95
730D2096F,1,18,200.0
730D2097F,1,12,200.0
730D3033F,0,6,152.55
730D3034F4,0,7,76.4
730D3091,1,11,169.49805
730D5391F1,0,10,100.6994
731C0031ST,,0,0.0
731C2001F,1,7,97.5
731C2002HS,0,7,96.4
731D5391,1,7,80.0
732D0032,1,4,80.0
732D3031,1,5,80.0
740C2102,1,8,99.6
740C2191,2,6,99.252881
740C3031,,0,0.0
740C3031,0,6,99.8
740C3091,,0,0.0
740C3091,0,8,99.9
740C3092,,0,0.0
750C0001,1,7,199.6
750C0011,,0,0.0
750C0012,,0,0.0
750C0012,0,6,0.84004
750C0031,,0,0.0
750C0081,,0,0.0
750C0081,1,5,54.011
750C0082FA,2,6,98.81
750C1091,,0,0.0
750CD001,,0,0.0
750CD002,,0,0.0
750CD003,,0,0.0
750D1001F,1,15,200.0
760C0002,,0,0.0
760C0031,,0,0.0
760C0051,,0,0.0
760C0081F,,0,0.0
760C0081ST,,0,0.0
760C0091,,0,0.0
760C0091,0,7,137.5
760C0091A,1,7,75.0
760C0091F,,0,0.0
760C0092F,,0,0.0
760C0093F,,0,0.0
760C1002,,0,0.0
760C1003,,0,0.0
760C1101,,0,0.0
760C2002,,0,0.0
760C2002,0,6,100.2
760C2181,1,10,99.7682
760C4031,,0,0.0
760C4091,,0,0.0
760C4092,,0,0.0
760C6002,,0,0.0
760C6031,,0,0.0
760C6081F,,0,0.0
760C6082F,,0,0.0
770C3002,1,7,99.9
770D2002,0,10,120.45
900C0011F,1,10,34.733
900C0012,0,8,124.0
900C0021,0,6,75.9
900C0022,0,10,100.17
900C0023,0,4,75.8
900C0061,0,9,100.1
900C0063,1,9,100.1
900C0093,0,7,99.9
900C0095,0,8,99.982
900C0095,1,1,0.018
900C0096P,0,6,123.591
900C0098,,0,0.0
900C2001,1,13,200.0
900C2031,1,10,200.0
900C2091,,0,0.0
901C0081F,0,7,99.8
901C2001,,0,0.0
901D002,,0,0.0
AD301,0,1,0.1
NSL224826,1,1,66.25
SD,0,0,0.0
